r	phi	z
0	1.5708	-1
0.0002	1.5706	-0.9996
0.0004	1.5704	-0.9992
0.000599999	1.5702	-0.9988
0.000799997	1.57	-0.9984
0.000999995	1.5698	-0.998
0.00119999	1.5696	-0.9976
0.00139999	1.5694	-0.9972
0.00159998	1.5692	-0.9968
0.00179997	1.569	-0.9964
0.00199996	1.5688	-0.996
0.00219995	1.5686	-0.9956
0.00239993	1.5684	-0.9952
0.00259991	1.5682	-0.9948
0.00279989	1.568	-0.9944
0.00299987	1.5678	-0.994
0.00319984	1.5676	-0.9936
0.00339981	1.5674	-0.9932
0.00359977	1.5672	-0.9928
0.00379973	1.567	-0.9924
0.00399969	1.5668	-0.992
0.00419964	1.5666	-0.9916
0.00439958	1.5664	-0.9912
0.00459952	1.5662	-0.9908
0.00479946	1.566	-0.9904
0.00499939	1.5658	-0.99
0.00519931	1.56559	-0.9896
0.00539923	1.56539	-0.9892
0.00559914	1.56519	-0.9888
0.00579904	1.56499	-0.9884
0.00599894	1.56479	-0.988
0.00619883	1.56459	-0.9876
0.00639871	1.56439	-0.9872
0.00659859	1.56419	-0.9868
0.00679845	1.56399	-0.9864
0.00699831	1.56379	-0.986
0.00719816	1.56359	-0.9856
0.00739801	1.56339	-0.9852
0.00759784	1.56319	-0.9848
0.00779767	1.56299	-0.9844
0.00799748	1.56279	-0.984
0.00819729	1.56259	-0.9836
0.00839709	1.56239	-0.9832
0.00859687	1.56219	-0.9828
0.00879665	1.56199	-0.9824
0.00899641	1.56179	-0.982
0.00919617	1.56159	-0.9816
0.00939592	1.56139	-0.9812
0.00959565	1.56119	-0.9808
0.00979537	1.56099	-0.9804
0.00999508	1.56079	-0.98
0.0101948	1.56059	-0.9796
0.0103945	1.56039	-0.9792
0.0105941	1.56018	-0.9788
0.0107938	1.55998	-0.9784
0.0109935	1.55978	-0.978
0.0111931	1.55958	-0.9776
0.0113927	1.55938	-0.9772
0.0115923	1.55918	-0.9768
0.0117919	1.55898	-0.9764
0.0119915	1.55878	-0.976
0.0121911	1.55858	-0.9756
0.0123906	1.55838	-0.9752
0.0125902	1.55818	-0.9748
0.0127897	1.55798	-0.9744
0.0129892	1.55778	-0.974
0.0131887	1.55757	-0.9736
0.0133882	1.55737	-0.9732
0.0135876	1.55717	-0.9728
0.0137871	1.55697	-0.9724
0.0139865	1.55677	-0.972
0.0141859	1.55657	-0.9716
0.0143853	1.55637	-0.9712
0.0145847	1.55617	-0.9708
0.0147841	1.55597	-0.9704
0.0149834	1.55576	-0.97
0.0151827	1.55556	-0.9696
0.015382	1.55536	-0.9692
0.0155813	1.55516	-0.9688
0.0157806	1.55496	-0.9684
0.0159799	1.55476	-0.968
0.0161791	1.55456	-0.9676
0.0163783	1.55435	-0.9672
0.0165775	1.55415	-0.9668
0.0167767	1.55395	-0.9664
0.0169758	1.55375	-0.966
0.017175	1.55355	-0.9656
0.0173741	1.55335	-0.9652
0.0175732	1.55314	-0.9648
0.0177723	1.55294	-0.9644
0.0179713	1.55274	-0.964
0.0181704	1.55254	-0.9636
0.0183694	1.55234	-0.9632
0.0185684	1.55213	-0.9628
0.0187673	1.55193	-0.9624
0.0189663	1.55173	-0.962
0.0191652	1.55153	-0.9616
0.0193641	1.55133	-0.9612
0.019563	1.55112	-0.9608
0.0197618	1.55092	-0.9604
0.0199607	1.55072	-0.96
0.0201595	1.55052	-0.9596
0.0203583	1.55032	-0.9592
0.020557	1.55011	-0.9588
0.0207558	1.54991	-0.9584
0.0209545	1.54971	-0.958
0.0211532	1.54951	-0.9576
0.0213518	1.5493	-0.9572
0.0215505	1.5491	-0.9568
0.0217491	1.5489	-0.9564
0.0219477	1.54869	-0.956
0.0221462	1.54849	-0.9556
0.0223448	1.54829	-0.9552
0.0225433	1.54809	-0.9548
0.0227417	1.54788	-0.9544
0.0229402	1.54768	-0.954
0.0231386	1.54748	-0.9536
0.023337	1.54727	-0.9532
0.0235354	1.54707	-0.9528
0.0237337	1.54687	-0.9524
0.0239321	1.54666	-0.952
0.0241304	1.54646	-0.9516
0.0243286	1.54626	-0.9512
0.0245268	1.54605	-0.9508
0.024725	1.54585	-0.9504
0.0249232	1.54565	-0.95
0.0251214	1.54544	-0.9496
0.0253195	1.54524	-0.9492
0.0255176	1.54504	-0.9488
0.0257156	1.54483	-0.9484
0.0259136	1.54463	-0.948
0.0261116	1.54442	-0.9476
0.0263096	1.54422	-0.9472
0.0265075	1.54402	-0.9468
0.0267054	1.54381	-0.9464
0.0269033	1.54361	-0.946
0.0271011	1.5434	-0.9456
0.0272989	1.5432	-0.9452
0.0274967	1.54299	-0.9448
0.0276944	1.54279	-0.9444
0.0278922	1.54259	-0.944
0.0280898	1.54238	-0.9436
0.0282875	1.54218	-0.9432
0.0284851	1.54197	-0.9428
0.0286827	1.54177	-0.9424
0.0288802	1.54156	-0.942
0.0290777	1.54136	-0.9416
0.0292752	1.54115	-0.9412
0.0294726	1.54095	-0.9408
0.02967	1.54074	-0.9404
0.0298674	1.54054	-0.94
0.0300647	1.54033	-0.9396
0.030262	1.54013	-0.9392
0.0304593	1.53992	-0.9388
0.0306565	1.53972	-0.9384
0.0308537	1.53951	-0.938
0.0310508	1.5393	-0.9376
0.0312479	1.5391	-0.9372
0.031445	1.53889	-0.9368
0.0316421	1.53869	-0.9364
0.0318391	1.53848	-0.936
0.032036	1.53828	-0.9356
0.032233	1.53807	-0.9352
0.0324299	1.53786	-0.9348
0.0326267	1.53766	-0.9344
0.0328235	1.53745	-0.934
0.0330203	1.53724	-0.9336
0.033217	1.53704	-0.9332
0.0334137	1.53683	-0.9328
0.0336104	1.53662	-0.9324
0.033807	1.53642	-0.932
0.0340036	1.53621	-0.9316
0.0342001	1.536	-0.9312
0.0343966	1.5358	-0.9308
0.0345931	1.53559	-0.9304
0.0347895	1.53538	-0.93
0.0349859	1.53518	-0.9296
0.0351822	1.53497	-0.9292
0.0353785	1.53476	-0.9288
0.0355748	1.53455	-0.9284
0.035771	1.53435	-0.928
0.0359671	1.53414	-0.9276
0.0361633	1.53393	-0.9272
0.0363593	1.53372	-0.9268
0.0365554	1.53352	-0.9264
0.0367514	1.53331	-0.926
0.0369473	1.5331	-0.9256
0.0371432	1.53289	-0.9252
0.0373391	1.53268	-0.9248
0.0375349	1.53247	-0.9244
0.0377307	1.53227	-0.924
0.0379264	1.53206	-0.9236
0.0381221	1.53185	-0.9232
0.0383177	1.53164	-0.9228
0.0385133	1.53143	-0.9224
0.0387089	1.53122	-0.922
0.0389044	1.53101	-0.9216
0.0390999	1.5308	-0.9212
0.0392953	1.5306	-0.9208
0.0394906	1.53039	-0.9204
0.039686	1.53018	-0.92
0.0398812	1.52997	-0.9196
0.0400765	1.52976	-0.9192
0.0402716	1.52955	-0.9188
0.0404668	1.52934	-0.9184
0.0406619	1.52913	-0.918
0.0408569	1.52892	-0.9176
0.0410519	1.52871	-0.9172
0.0412468	1.5285	-0.9168
0.0414417	1.52829	-0.9164
0.0416365	1.52808	-0.916
0.0418313	1.52787	-0.9156
0.0420261	1.52766	-0.9152
0.0422208	1.52745	-0.9148
0.0424154	1.52724	-0.9144
0.04261	1.52702	-0.914
0.0428046	1.52681	-0.9136
0.042999	1.5266	-0.9132
0.0431935	1.52639	-0.9128
0.0433879	1.52618	-0.9124
0.0435822	1.52597	-0.912
0.0437765	1.52576	-0.9116
0.0439707	1.52555	-0.9112
0.0441649	1.52533	-0.9108
0.0443591	1.52512	-0.9104
0.0445531	1.52491	-0.91
0.0447472	1.5247	-0.9096
0.0449411	1.52449	-0.9092
0.0451351	1.52427	-0.9088
0.0453289	1.52406	-0.9084
0.0455227	1.52385	-0.908
0.0457165	1.52364	-0.9076
0.0459102	1.52342	-0.9072
0.0461039	1.52321	-0.9068
0.0462975	1.523	-0.9064
0.046491	1.52278	-0.906
0.0466845	1.52257	-0.9056
0.0468779	1.52236	-0.9052
0.0470713	1.52214	-0.9048
0.0472646	1.52193	-0.9044
0.0474579	1.52172	-0.904
0.0476511	1.5215	-0.9036
0.0478443	1.52129	-0.9032
0.0480374	1.52108	-0.9028
0.0482304	1.52086	-0.9024
0.0484234	1.52065	-0.902
0.0486163	1.52043	-0.9016
0.0488092	1.52022	-0.9012
0.049002	1.52	-0.9008
0.0491948	1.51979	-0.9004
0.0493875	1.51957	-0.9
0.0495801	1.51936	-0.8996
0.0497727	1.51914	-0.8992
0.0499652	1.51893	-0.8988
0.0501577	1.51871	-0.8984
0.0503501	1.5185	-0.898
0.0505424	1.51828	-0.8976
0.0507347	1.51807	-0.8972
0.0509269	1.51785	-0.8968
0.0511191	1.51763	-0.8964
0.0513112	1.51742	-0.896
0.0515032	1.5172	-0.8956
0.0516952	1.51699	-0.8952
0.0518871	1.51677	-0.8948
0.052079	1.51655	-0.8944
0.0522708	1.51634	-0.894
0.0524625	1.51612	-0.8936
0.0526542	1.5159	-0.8932
0.0528458	1.51568	-0.8928
0.0530374	1.51547	-0.8924
0.0532288	1.51525	-0.892
0.0534203	1.51503	-0.8916
0.0536116	1.51481	-0.8912
0.0538029	1.5146	-0.8908
0.0539942	1.51438	-0.8904
0.0541853	1.51416	-0.89
0.0543764	1.51394	-0.8896
0.0545675	1.51372	-0.8892
0.0547585	1.5135	-0.8888
0.0549494	1.51329	-0.8884
0.0551402	1.51307	-0.888
0.055331	1.51285	-0.8876
0.0555217	1.51263	-0.8872
0.0557124	1.51241	-0.8868
0.055903	1.51219	-0.8864
0.0560935	1.51197	-0.886
0.0562839	1.51175	-0.8856
0.0564743	1.51153	-0.8852
0.0566647	1.51131	-0.8848
0.0568549	1.51109	-0.8844
0.0570451	1.51087	-0.884
0.0572352	1.51065	-0.8836
0.0574253	1.51043	-0.8832
0.0576153	1.51021	-0.8828
0.0578052	1.50999	-0.8824
0.057995	1.50977	-0.882
0.0581848	1.50954	-0.8816
0.0583745	1.50932	-0.8812
0.0585642	1.5091	-0.8808
0.0587537	1.50888	-0.8804
0.0589432	1.50866	-0.88
0.0591327	1.50844	-0.8796
0.059322	1.50821	-0.8792
0.0595113	1.50799	-0.8788
0.0597006	1.50777	-0.8784
0.0598897	1.50755	-0.878
0.0600788	1.50732	-0.8776
0.0602678	1.5071	-0.8772
0.0604567	1.50688	-0.8768
0.0606456	1.50665	-0.8764
0.0608344	1.50643	-0.876
0.0610231	1.50621	-0.8756
0.0612118	1.50598	-0.8752
0.0614004	1.50576	-0.8748
0.0615889	1.50553	-0.8744
0.0617773	1.50531	-0.874
0.0619657	1.50508	-0.8736
0.062154	1.50486	-0.8732
0.0623422	1.50464	-0.8728
0.0625303	1.50441	-0.8724
0.0627184	1.50419	-0.872
0.0629064	1.50396	-0.8716
0.0630943	1.50373	-0.8712
0.0632822	1.50351	-0.8708
0.06347	1.50328	-0.8704
0.0636577	1.50306	-0.87
0.0638453	1.50283	-0.8696
0.0640328	1.5026	-0.8692
0.0642203	1.50238	-0.8688
0.0644077	1.50215	-0.8684
0.064595	1.50192	-0.868
0.0647823	1.5017	-0.8676
0.0649694	1.50147	-0.8672
0.0651565	1.50124	-0.8668
0.0653435	1.50101	-0.8664
0.0655305	1.50079	-0.866
0.0657173	1.50056	-0.8656
0.0659041	1.50033	-0.8652
0.0660908	1.5001	-0.8648
0.0662774	1.49987	-0.8644
0.066464	1.49964	-0.864
0.0666505	1.49942	-0.8636
0.0668368	1.49919	-0.8632
0.0670232	1.49896	-0.8628
0.0672094	1.49873	-0.8624
0.0673955	1.4985	-0.862
0.0675816	1.49827	-0.8616
0.0677676	1.49804	-0.8612
0.0679535	1.49781	-0.8608
0.0681394	1.49758	-0.8604
0.0683251	1.49735	-0.86
0.0685108	1.49712	-0.8596
0.0686964	1.49689	-0.8592
0.0688819	1.49665	-0.8588
0.0690673	1.49642	-0.8584
0.0692527	1.49619	-0.858
0.0694379	1.49596	-0.8576
0.0696231	1.49573	-0.8572
0.0698082	1.4955	-0.8568
0.0699932	1.49526	-0.8564
0.0701782	1.49503	-0.856
0.070363	1.4948	-0.8556
0.0705478	1.49456	-0.8552
0.0707325	1.49433	-0.8548
0.0709171	1.4941	-0.8544
0.0711016	1.49386	-0.854
0.071286	1.49363	-0.8536
0.0714704	1.4934	-0.8532
0.0716547	1.49316	-0.8528
0.0718389	1.49293	-0.8524
0.072023	1.49269	-0.852
0.072207	1.49246	-0.8516
0.0723909	1.49222	-0.8512
0.0725747	1.49199	-0.8508
0.0727585	1.49175	-0.8504
0.0729422	1.49152	-0.85
0.0731258	1.49128	-0.8496
0.0733093	1.49105	-0.8492
0.0734927	1.49081	-0.8488
0.073676	1.49057	-0.8484
0.0738592	1.49034	-0.848
0.0740424	1.4901	-0.8476
0.0742254	1.48986	-0.8472
0.0744084	1.48962	-0.8468
0.0745913	1.48939	-0.8464
0.0747741	1.48915	-0.846
0.0749568	1.48891	-0.8456
0.0751394	1.48867	-0.8452
0.075322	1.48843	-0.8448
0.0755044	1.4882	-0.8444
0.0756868	1.48796	-0.844
0.0758691	1.48772	-0.8436
0.0760512	1.48748	-0.8432
0.0762333	1.48724	-0.8428
0.0764153	1.487	-0.8424
